128,2,0.6848,449,451,524,518
128,2,0.6463,521,361,565,407
129,2,0.7881,393,388,456,449
129,2,0.6307,519,366,562,411
129,2,0.6109,442,455,521,534
130,2,0.6823,381,390,448,457
130,2,0.6767,512,368,561,417
130,2,0.6597,427,473,514,557
131,2,0.6657,420,482,509,566
131,2,0.6626,507,369,559,419
131,2,0.5811,377,392,445,464
132,2,0.7130,402,499,500,598
132,2,0.6364,363,400,436,474
132,2,0.5655,505,372,555,427
133,2,0.7720,390,511,494,610
133,2,0.6953,356,402,431,480
133,2,0.5428,504,377,553,433
134,2,0.7329,365,531,482,642
134,2,0.6814,496,385,551,440
134,2,0.6703,342,412,422,492
135,2,0.8276,354,543,475,666
135,2,0.7467,336,416,416,500
135,2,0.5977,493,389,549,443
136,2,0.7468,318,424,405,512
136,2,0.7146,322,577,511,717
136,2,0.5527,487,396,545,455
137,2,0.6827,484,399,543,460
137,2,0.6612,308,427,399,520
137,2,0.5976,305,594,451,717
138,2,0.7435,276,633,428,717
138,2,0.6618,288,439,385,539
138,2,0.6330,475,401,537,472
138,2,0.6154,1019,666,1195,719
139,2,0.7596,1002,648,1197,718
139,2,0.7142,277,657,419,719
139,2,0.6770,277,447,378,544
139,2,0.6526,470,408,535,479
140,2,0.8198,972,611,1127,716
140,2,0.6917,253,458,362,568
140,2,0.6811,458,420,528,491
141,2,0.7826,959,594,1104,704
141,2,0.6776,456,425,527,497
141,2,0.6296,240,468,354,577
142,2,0.8134,934,565,1066,663
142,2,0.7810,210,483,335,604
142,2,0.7258,446,436,520,512
143,2,0.8432,194,490,325,619
143,2,0.7840,925,553,1051,645
143,2,0.7178,441,441,517,523
144,2,0.7741,426,449,509,543
144,2,0.7677,158,509,301,650
144,2,0.6878,905,532,1020,615
145,2,0.8789,137,519,289,667
145,2,0.7421,419,451,506,551
145,2,0.7269,897,522,1007,604
146,2,0.8140,88,543,261,708
146,2,0.7515,884,506,983,579
146,2,0.7118,405,473,499,569
147,2,0.8501,61,557,245,720
147,2,0.7234,397,482,492,580
147,2,0.7081,884,497,969,574
148,2,0.7673,378,499,484,613
148,2,0.7618,6,574,210,720
148,2,0.7015,864,478,953,546
149,2,0.8738,364,508,478,635
149,2,0.7521,857,473,942,541
149,2,0.7264,1,599,192,718
150,2,0.8417,342,530,467,665
150,2,0.7156,0,643,138,718
150,2,0.7035,851,463,926,523
151,2,0.8223,842,454,917,516
151,2,0.8032,326,541,459,699
151,2,0.4298,0,664,111,718
152,2,0.6647,832,445,901,502
152,2,0.5970,294,566,514,718
152,2,0.5099,295,561,442,718
153,2,0.8235,828,439,897,496
153,2,0.6398,278,584,435,719
154,2,0.8007,248,622,411,720
154,2,0.6461,821,431,885,484
155,2,0.8241,247,644,400,718
155,2,0.6463,818,425,882,477
155,2,0.2654,586,279,606,298
156,2,0.6244,810,418,868,466
156,2,0.3273,584,281,606,300
156,2,0.2640,243,697,362,719
157,2,0.6682,807,414,865,461
